product_id,username,seller_id,seller_username,type,price,followers,following,posts,date_joined,verified,business,date
IG226395,stane.ogu,5575832738,Vioco,instagram,599,1824,7445,0,0,No,No,2025-06-21 18:47
IG646426,fadilx107,8055851841,bleed_0001,instagram,250,39,130,5,5,No,Yes,2025-06-21 19:39
IG981599,ariseendera,6277490150,AriseSeller,instagram,3000,1304,456,220,220,No,No,2025-06-22 09:49
IG142977,delladerob89,7850247585,sczcu,instagram,50,0,0,11,11,No,No,2025-06-22 09:50
IG204862,weheartblackandwhite,7850247585,sczcu,instagram,30,11,17,8,8,No,No,2025-06-22 09:52
IG793288,zcscu,5575832738,Vioco,instagram,399,1276,36,0,0,No,No,2025-06-22 10:38
IG817720,pierratallah,6741490475,MRX111000,instagram,50,20,289,68,68,No,No,2025-06-22 10:48
IG732202,kamillyqueiroz95,6741490475,MRX111000,instagram,250,160,416,1,1,No,Yes,2025-06-22 14:02
IG871052,tmkc,7544370229,Enfvn,instagram,897,21,1990,409,409,No,No,2025-06-22 16:58
IG985927,dusvane,7722797658,Angste,instagram,2000,7361,138,2,2,No,No,2025-06-22 20:09
IG612746,vivekkrthakur2022,5958207507,Q4nix,instagram,250,69,66,2,2,No,Yes,2025-06-22 20:20
IG196757,va0mn,6668033411,Xoxodemon,instagram,50,0,1,0,0,No,No,2025-06-22 20:23
IG186268,beingsalmankhan,5884050024,Flexo220,instagram,5000,70466895,44,1522,2014,Yes,No,2025-06-23 11:25
IG564690,chikusarkar69,5884050024,Flexo220,instagram,200,511,941,3,2015,Yes,Yes,2025-06-23 11:44
IG668822,bhanshot,5575832738,Vioco,instagram,555,65,64,14,2020-2023,No,No,2025-06-23 11:54
IG258218,countrysidemarketwr,5851767478,PrayagRajj,instagram,150,169,2,369,2017,No,Yes,2025-06-23 12:49
IG443841,gabbydunn1989,5851767478,PrayagRajj,instagram,200,511,427,190,2015,No,No,2025-06-23 13:32
IG130385,fodieehealthy,6557174154,Aaakkkuuu,instagram,200,34,118,3,2019,No,Yes,2025-06-23 15:13
IG427142,fartsaas9,6434801955,a2xc7,instagram,230,2436,4305,0,2015,No,No,2025-06-23 16:56
IG852891,hananboda0234,5851767478,PrayagRajj,instagram,200,71,127,1,2019,No,No,2025-06-23 17:27
